OBJECTID,X,Y,areaUnitID,bicycle,bus,carStationWagon,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,directionRoleDescription,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,otherVehicleType,parkedVehicle,pedestrian,region,roadCharacter,roadLane,roadSurface,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA
149980,1931631.0,5602932.0,545721.0,0.0,0.0,2.0,North,2001/2002,ST GEORGES ROAD,HAVELOCK ROAD,Non-Injury Crash,No,2002,North,0.0,,Flat,,,,,Bright sun,1473000.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,Null,0.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Open,0.0,,,Fine
340055,1932605.0,5609784.0,545832.0,0.0,0.0,1.0,South,2013/2014,PAKOWHAI ROAD,CHESTERHOPE BR,Minor Crash,No,2014,South,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,1404200.0,1.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
114353,1915854.0,5604849.0,545841.0,0.0,0.0,2.0,South,2008/2009,SH 50,LINKS ROAD EAST,Non-Injury Crash,Yes,2009,South,0.0,,Flat,,Easter,,,Dark,1462901.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,None,2.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Open,0.0,,,Fine
316721,1934180.0,5607200.0,545722.0,0.0,0.0,1.0,Null,2006/2007,SH 2,NAPIER ROAD,Non-Injury Crash,Yes,2006,South,0.0,,Flat,,,,,Dark,1406200.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,On,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Open,1.0,,,Fine
135664,1901212.0446,5598671.3446,545841.0,0.0,0.0,1.0,East,2018/2019,050-0033,GLENLYON STN ENT,Non-Injury Crash,Yes,2019,East,0.0,0.0,Hill Road,1.0,,0.0,0.0,Bright sun,1462600.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
373850,1935073.0,5646753.0,545911.0,0.0,0.0,1.0,North,2010/2011,SH 2,DEVILS ELBOW,Serious Crash,Yes,2010,East,0.0,0.0,Hill Road,0.0,,0.0,0.0,Dark,1415400.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,1.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
680654,1929549.0,5604870.0,548200.0,0.0,0.0,2.0,Null,2002/2003,MARKET ST SOUTH,LYNDON ROAD WEST,Non-Injury Crash,No,2002,North,0.0,,Flat,,Labour Weekend,,,Bright sun,1489802.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,0.0,,,Fine
523901,1927501.0,5603870.0,545761.0,0.0,0.0,1.0,Null,2005/2006,SOUTHLAND ROAD,HEATHCOTE ROAD,Non-Injury Crash,No,2005,South,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1468801.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Light rain
661826,1923951.0,5607694.0,548611.0,0.0,0.0,1.0,Null,2015/2016,BANGOR ST,KINGSLEY DRIVE,Non-Injury Crash,No,2016,South,0.0,0.0,Flat,0.0,,0.0,1.0,Dark,1470313.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,40.0,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
618757,1924341.0,5609262.0,545710.0,0.0,0.0,1.0,North,2015/2016,OMAHU ROAD,KIRKWOOD ROAD,Serious Crash,No,2016,South,0.0,0.0,Flat,0.0,Queens Birthday,0.0,0.0,Twilight,1470600.0,1.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,2.0,0.0,70.0,0.0,Off,0.0,0.0,,30.0,Hastings District,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Null
228499,1923404.0,5613707.0,545821.0,0.0,0.0,1.0,South,2016/2017,SWAMP ROAD,PIRAU ROAD,Non-Injury Crash,No,2016,South,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1408401.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Light rain
315633,1930262.5617,5605788.1512,548200.0,0.0,0.0,1.0,South,2020/2021,NELSON STREET NORTH,KITCHENER STREET,Non-Injury Crash,No,2020,North,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,1491100.0,0.0,0.0,0.0,2.0,0.0,1.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine
737955,1930530.0,5599411.0,548822.0,0.0,0.0,0.0,East,2016/2017,MIDDLE ROAD,SCHOOL ROAD,Non-Injury Crash,No,2017,West,0.0,0.0,Null,0.0,,0.0,0.0,Overcast,1465901.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,None,1.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Heavy rain
355058,1931564.1507,5604953.8121,548000.0,0.0,0.0,2.0,North,2018/2019,ANSON STREET,NORFOLK CRESCENT,Minor Crash,No,2019,South,0.0,,Flat,,,,,Twilight,1498500.0,2.0,0.0,0.0,1.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,On,0.0,0.0,,30.0,Hastings District,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine
351732,1929380.0,5605496.0,548200.0,0.0,0.0,1.0,Null,2013/2014,HERETAUNGA ST WEST,CHARLES ST,Non-Injury Crash,No,2014,South,0.0,,Flat,,,,,Bright sun,1490100.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Off,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,1.0,,,Fine
48036,1918016.0,5648854.0,545911.0,0.0,0.0,1.0,South,2014/2015,SH 5,TE POHUE LOOP ROAD S,Non-Injury Crash,Yes,2015,North,0.0,1.0,Hill Road,0.0,Easter,0.0,0.0,Overcast,1415900.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,100.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Light rain
513037,1930510.0,5604594.0,548100.0,1.0,0.0,1.0,Null,2010/2011,WILLOWPARK ROAD NORTH,ST AUBYN ST EAST,Minor Crash,No,2011,North,0.0,,Flat,,,,,Overcast,1500800.0,1.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Urban,0.0,,,Fine
570005,1928104.0,5606479.0,548500.0,0.0,0.0,4.0,East,2005/2006,ORCHARD ROAD,CANNING ROAD,Non-Injury Crash,No,2005,West,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1479500.0,0.0,0.0,0.0,2.0,0.0,1.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
358569,1933349.0,5601986.0,548832.0,0.0,0.0,0.0,West,2013/2014,TE MATA ROAD,DANVERS ST,Non-Injury Crash,No,2013,West,0.0,,Flat,,,,,Bright sun,1508200.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,50.0,,Null,2.0,0.0,,30.0,Hastings District,Nil,,,,,0.0,0.0,Urban,0.0,,,Fine
477447,1931001.0,5605610.0,548000.0,0.0,0.0,2.0,North,2016/2017,FREDERICK ST,KARAMU ROAD NORTH,Non-Injury Crash,No,2017,South,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,1495700.0,0.0,0.0,0.0,2.0,0.0,1.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,30.0,Hastings District,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
503035,1923694.0,5608137.0,548611.0,0.0,0.0,1.0,Null,2005/2006,RAMSEY CRESCENT,FLAXMERE AVENUE,Non-Injury Crash,No,2005,East,0.0,1.0,Flat,0.0,,0.0,0.0,Bright sun,1470314.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,50.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
340731,1930935.0,5613540.0,545831.0,0.0,0.0,2.0,Null,2011/2012,SH 50A,SH 50 LINKS,Non-Injury Crash,Yes,2012,North,0.0,,Flat,,,,,Bright sun,1404600.0,0.0,0.0,0.0,2.0,0.0,,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,,100.0,,Null,0.0,0.0,,30.0,Hastings District,Give way,,,,,0.0,0.0,Open,0.0,,,Fine
626297,1931876.0,5603082.0,545721.0,0.0,0.0,2.0,Null,2006/2007,ST GEORGES ROAD,HOWARD ST,Non-Injury Crash,No,2007,North,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,1472801.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,2-way,Sealed,0.0,0.0,0.0,80.0,0.0,Null,0.0,0.0,,30.0,Hastings District,Stop,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine
717444,1932138.2457,5611556.9703,545832.0,0.0,0.0,0.0,Null,2019/2020,PAKOWHAI ROAD,BROOKFIELDS ROAD,Non-Injury Crash,No,2019,West,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1404400.0,0.0,0.0,0.0,2.0,0.0,0.0,,Hawke's Bay Region,Nil,1-way,Sealed,0.0,0.0,0.0,60.0,0.0,On,1.0,0.0,50.0,30.0,Hastings District,Give way,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine
